Country Name,Country Code,Indicator Name,Indicator Code,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Bolivia,BOL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,54199413000.00,43483989000.00,56787439000.00,73294325000.00,88273367000.00,93412577000.00,98709824000.00,70389398000.00,57432499000.00,64547736000.00,72349595000.00,70554158000.00,
Brazil,BRA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,420881000000.00,361680000000.00,422220000000.00,506895000000.00,571876000000.00,626051000000.00,636375000000.00,773468000000.00,781577000000.00,824434000000.00,1025780000000.00,1039370000000.00,
Barbados,BRB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,4654119500.00,3892182400.00,4209202500.00,4142350200.00,3928351600.00,3926864700.00,3787407800.00,3908091700.00,4166584500.00,4200595100.00,4200187400.00,4376406000.00,
Brunei Darussalam,BRN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,15971400000.00,11362400000.00,12598456000.00,16197000000.00,16700000000.00,15404000000.00,14769610000.00,9282000000.00,7807371200.00,8302377800.00,9504125900.00,10647577271.00,
Bhutan,BTN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,26709740000.00,27367000000.00,30777000000.00,35004000000.00,37739000000.00,42636000000.00,43589875500.00,44261735300.00,42966168200.00,48004252100.00,51570338900.00,,
Botswana,BWA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,34128000000.00,25565600000.00,37905000000.00,52438000000.00,54112000000.00,77000673800.00,85284700000.00,72763700000.00,89650300000.00,71446900000.00,76789000000.00,66257900000.00,
Central African Republic,CAF,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,97829181400.00,95688000000.00,123250000000.00,150825000000.00,148022000000.00,125092000000.00,156015000000.00,171119000000.00,160301000000.00,207691000000.00,232955000000.00,242688000000.00,
Canada,CAN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,569939000000.00,448079000000.00,485942000000.00,544254000000.00,554612000000.00,576989000000.00,633112000000.00,633955000000.00,638095000000.00,672533000000.00,713351000000.00,729050000000.00,
Central Europe and the Baltics,CEB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Switzerland,CHE,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,376237000000.00,337209000000.00,389443000000.00,406708000000.00,419908000000.00,459008000000.00,417598000000.00,407054000000.00,434901000000.00,435421000000.00,455992000000.00,461380000000.00,
Channel Islands,CHI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Chile,CHL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,38878300000000.00,35813400000000.00,42089100000000.00,46071900000000.00,44340400000000.00,44395400000000.00,49202400000000.00,46870900000000.00,47722400000000.00,51121700000000.00,54673800000000.00,55960100000000.00,
China,CHN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,10408200000000.00,8625760000000.00,11203600000000.00,12963700000000.00,13729800000000.00,14586500000000.00,15130200000000.00,14709900000000.00,14617700000000.00,16384700000000.00,17569400000000.00,18247000000000.00,
Cote d'Ivoire,CIV,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,5111170000000.00,5829700000000.00,6240330000000.00,6445870000000.00,6692160000000.00,6414790000000.00,6857750000000.00,7409580000000.00,6990870000000.00,7464830000000.00,7245000000000.00,8098950000000.00,
Cameroon,CMR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,3436490000000.00,2629460000000.00,2870950000000.00,3589810000000.00,3880800000000.00,4086060000000.00,4308380000000.00,4070270000000.00,3721820000000.00,3777810000000.00,4151000000000.00,3760180000000.00,
"Congo, Dem. Rep.",COD,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,4319430000000.00,4049200000000.00,8031750000000.00,9388680000000.00,8302810000000.00,10952400000000.00,12237100000000.00,9734790000000.00,8987830000000.00,19626100000000.00,26091400000000.00,25001900000000.00,
"Congo, Rep.",COG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,3990940000000.00,3189890000000.00,5062260000000.00,5941320000000.00,5849980000000.00,5325870000000.00,5116030000000.00,3504480000000.00,3561450000000.00,4762790000000.00,6337040000000.00,4910110000000.00,
Colombia,COL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,86302000000000.00,82381000000000.00,88904000000000.00,119326000000000.00,125378000000000.00,129154000000000.00,126907000000000.00,125936000000000.00,127124000000000.00,139408000000000.00,156703000000000.00,168849000000000.00,
Comoros,COM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,25181000000.00,29736000000.00,32478000000.00,36002000000.00,34798000000.00,37413000000.00,41194000000.00,43418000000.00,48045000000.00,55843000000.00,65042000000.00,,
Cabo Verde,CPV,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,49698251000.00,42227756500.00,45270775400.00,52541480200.00,60789735600.00,62246267800.00,62332026000.00,71267713200.00,73324941000.00,79491195800.00,90436454800.00,99288526000.00,
Costa Rica,CRI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,6290130000000.00,6104340000000.00,6500880000000.00,7021690000000.00,7518480000000.00,7789680000000.00,8782030000000.00,9025970000000.00,9993330000000.00,10874100000000.00,11696900000000.00,12245400000000.00,
Caribbean small states,CSS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Cuba,CUB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,12506400000.00,10839000000.00,14519000000.00,17319000000.00,18659000000.00,18593000000.00,17812000000.00,14941000000.00,13690000000.00,14083000000.00,14505000000.00,,
Curacao,CUW,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,3523300000.00,3116600000.00,2934100000.00,3863000000.00,4241900000.00,3885500000.00,4084200000.00,,,,,,
Cayman Islands,CYM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Cyprus,CYP,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,9520300000.00,9099100000.00,9778696000.00,10593664000.00,10753133000.00,11041768000.00,11508638000.00,12536961000.00,13352616000.00,14632044000.00,15444400000.00,15607400000.00,
Czech Republic,CZE,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,2544300000000.00,2306530000000.00,2616400000000.00,2876360000000.00,3092440000000.00,3150270000000.00,3560850000000.00,3724850000000.00,3793200000000.00,4023990000000.00,4177140000000.00,4266870000000.00,
Germany,DEU,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,1115340000000.00,932310000000.00,1091550000000.00,1213640000000.00,1271270000000.00,1276880000000.00,1335470000000.00,1419550000000.00,1442410000000.00,1538040000000.00,1585770000000.00,1613460000000.00,
Djibouti,DJI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,568315000000.00,623353000000.00,610974000000.00,465572000000.00,722865000000.00,798759000000.00,912502000000.00,
Dominica,DMA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,423181000.00,399462800.00,484062700.00,531061400.00,445665800.00,471754800.00,480578000.00,695451500.00,718468400.00,569879200.00,443392700.00,829842000.00,
Denmark,DNK,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,975961000000.00,811578000000.00,914933000000.00,993979000000.00,1035250000000.00,1058020000000.00,1081980000000.00,1128510000000.00,1126120000000.00,1199330000000.00,1249690000000.00,1296950000000.00,
Dominican Republic,DOM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,397245000000.00,365106000000.00,449706000000.00,534584000000.00,586559000000.00,659322000000.00,735845000000.00,761714000000.00,833790000000.00,900550000000.00,997603000000.00,1080010000000.00,
Algeria,DZA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,5298100000000.00,3525900000000.00,4610100000000.00,5658600000000.00,5979800000000.00,5528700000000.00,5206300000000.00,3872600000000.00,3655800000000.00,4209600000000.00,5191100000000.00,4579100000000.00,
East Asia & Pacific (excluding high income),EAP,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Early-demographic dividend,EAR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
East Asia & Pacific,EAS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Europe & Central Asia (excluding high income),ECA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Europe & Central Asia,ECS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Ecuador,ECU,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,21100364000.00,15785663000.00,19402439000.00,24671849000.00,26522271000.00,27243506000.00,28536122000.00,21107369000.00,19492639000.00,21727767000.00,24314052000.00,25129245000.00,
"Egypt, Arab Rep.",EGY,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,295900000000.00,260100000000.00,257600000000.00,282000000000.00,274600000000.00,316600000000.00,303400000000.00,322200000000.00,280300000000.00,548900000000.00,839200000000.00,,
Euro area,EMU,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Eritrea,ERI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,939800000.00,1292772400.00,1558798700.00,5764051900.00,,,,,,,,,
Spain,ESP,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,284308000000.00,246604000000.00,278386000000.00,314182000000.00,324335000000.00,336333000000.00,345593000000.00,362356000000.00,377370000000.00,408730000000.00,422170000000.00,434250000000.00,
Estonia,EST,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,11033106900.00,8601265900.00,11063097400.00,14443136200.00,15445576000.00,15992503900.00,16412566700.00,15975998000.00,16802543500.00,18102362500.00,19333368100.00,20347438700.00,
Ethiopia,ETH,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,85950400000.00,102887000000.00,108227000000.00,123496000000.00,121532000000.00,122501000000.00,139830000000.00,184209000000.00,213437000000.00,
European Union,EUU,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Finland,FIN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,87225000000.00,65576000000.00,72274000000.00,77022000000.00,78019000000.00,77678000000.00,75479000000.00,74845000000.00,75719000000.00,85085000000.00,90174000000.00,95975000000.00,
Fiji,FJI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
France,FRA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,560245000000.00,480921000000.00,534504000000.00,585016000000.00,609994000000.00,621707000000.00,637764000000.00,672558000000.00,675769000000.00,710965000000.00,748790000000.00,770689000000.00,
Faroe Islands,FRO,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,5688300000.00,5049000000.00,5786600000.00,6765900000.00,7175500000.00,7897800000.00,8217100000.00,8676000000.00,,,,,
"Micronesia, Fed. Sts.",FSM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,61367200.00,61304000.00,70347100.00,76935900.00,97807400.00,96425000.00,101619000.00,85658000.00,91885300.00,109856900.00,142584400.00,,
Gabon,GAB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,4319660000000.00,2972220000000.00,4100730000000.00,5298640000000.00,5343210000000.00,4984660000000.00,4001690000000.00,3914310000000.00,3659620000000.00,4354110000000.00,4733300000000.00,5014560000000.00,
United Kingdom,GBR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,429113000000.00,408140000000.00,452946000000.00,509554000000.00,513270000000.00,533788000000.00,530698000000.00,530049000000.00,567499000000.00,629085000000.00,656478000000.00,698626000000.00,
Georgia,GEO,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,5391200000.00,5314000000.00,7191200000.00,8838000000.00,9942400000.00,11929600000.00,12429200000.00,13866600000.00,14621000000.00,18965400000.00,22548800000.00,26999600000.00,
Ghana,GHA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,7553539300.00,10720117600.00,13571700000.00,22094120300.00,30396692600.00,31938030700.00,44797344700.00,57653361500.00,68568013000.00,90497203200.00,106003000000.00,125732000000.00,
Gibraltar,GIB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Guinea,GIN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,6935120000000.00,7260990000000.00,11906900000000.00,14728300000000.00,17681500000000.00,15317100000000.00,16433000000000.00,14151200000000.00,22522100000000.00,41676100000000.00,49153800000000.00,52762800000000.00,
"Gambia, The",GMB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,5017000000.00,6084000000.00,6341000000.00,7002000000.00,9006000000.00,9488000000.00,10167000000.00,9530000000.00,10585000000.00,15776000000.00,17182000000.00,18923540160.00,
Guinea-Bissau,GNB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,76860961000.00,73588380000.00,62682300000.00,133065000000.00,78162000000.00,94328000000.00,105255000000.00,170691000000.00,185208000000.00,217745000000.00,205300000000.00,184409000000.00,
Equatorial Guinea,GNQ,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,7891100000000.00,5275260000000.00,6922670000000.00,7558060000000.00,8219110000000.00,7333970000000.00,7088980000000.00,4416770000000.00,3424800000000.00,4170180000000.00,4337700000000.00,3562040000000.00,
Greece,GRC,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,56532752200.00,45089181800.00,49957934100.00,52865684400.00,54844917500.00,54834766600.00,57836534800.00,55930808900.00,53058887900.00,59454498800.00,66735606200.00,69710354200.00,
Grenada,GRD,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,561062200.00,505540700.00,496158000.00,529691200.00,557525600.00,578464700.00,1292138700.00,1379101500.00,1413580100.00,1561168300.00,1735874600.00,1808870900.00,
Greenland,GRL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,4711400000.00,4168000000.00,4794400000.00,5476300000.00,5670500000.00,5685100000.00,6136800000.00,6318600000.00,7428900000.00,7633800000.00,7867900000.00,,
Guatemala,GTM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,73134258300.00,73836244600.00,85957251700.00,98783403600.00,98162466400.00,91596628000.00,97268260000.00,94394886000.00,94140827000.00,97377791000.00,100180000000.00,104480000000.00,
Guam,GUM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,973000000.00,838000000.00,846000000.00,928000000.00,1004000000.00,1053000000.00,1058000000.00,1048000000.00,1123000000.00,1129000000.00,1165000000.00,,
Guyana,GUY,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,206694000000.00,205717000000.00,179310000000.00,228434000000.00,289273000000.00,282483000000.00,241024000000.00,237735000000.00,297491000000.00,296809000000.00,285776000000.00,294637000000.00,
High income,HIC,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
"Hong Kong SAR, China",HKG,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,3302540000000.00,2955700000000.00,3647210000000.00,4117480000000.00,4396980000000.00,4738700000000.00,4815850000000.00,4698170000000.00,4657550000000.00,5024070000000.00,5340230000000.00,5085190000000.00,
Honduras,HND,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,134686000000.00,108958000000.00,136950000000.00,171728000000.00,183937000000.00,180519000000.00,197211000000.00,207950000000.00,211829000000.00,236812000000.00,239800000000.00,247533000000.00,
Heavily indebted poor countries (HIPC),HPC,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Croatia,HRV,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,126216000000.00,108043000000.00,118952000000.00,129502000000.00,130634000000.00,133923000000.00,143473000000.00,157550000000.00,167273000000.00,183319000000.00,193399000000.00,204633000000.00,
Haiti,HTI,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,31903000000.00,42084000000.00,40956000000.00,52848000000.00,55466000000.00,66544000000.00,72520000000.00,84760000000.00,99716000000.00,103970000000.00,107894000000.00,120498000000.00,
Hungary,HUN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,21576800000000.00,19684800000000.00,22292400000000.00,24565000000000.00,24902100000000.00,25923800000000.00,28580600000000.00,30603800000000.00,31284300000000.00,33842200000000.00,36236500000000.00,38986500000000.00,
IBRD only,IBD,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
IDA & IBRD total,IBT,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
IDA total,IDA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
IDA blend,IDB,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Indonesia,IDN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,1475120000000000.00,1354410000000000.00,1667920000000000.00,2061890000000000.00,2118980000000000.00,2283780000000000.00,2501420000000000.00,2438990000000000.00,2367370000000000.00,2742060000000000.00,3111920000000000.00,2914640000000000.00,
IDA only,IDX,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Isle of Man,IMN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
India,IND,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,13287700000000.00,12987800000000.00,17101900000000.00,21439300000000.00,24397100000000.00,28567800000000.00,28636400000000.00,27286500000000.00,29487700000000.00,32115200000000.00,37662900000000.00,38042000000000.00,
Not classified,INX,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,,,,,,,,,,,,,
Ireland,IRL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,157942000000.00,158596000000.00,172797000000.00,177303000000.00,183013000000.00,186244000000.00,214350000000.00,320565000000.00,328235000000.00,359655000000.00,396383000000.00,440253000000.00,
"Iran, Islamic Rep.",IRN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,1033250000000000.00,932867000000000.00,1228720000000000.00,1639570000000000.00,1771530000000000.00,2670440000000000.00,2665250000000000.00,2253540000000000.00,2946410000000000.00,3820280000000000.00,,,
Iraq,IRQ,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,79028600000000.00,51473600000000.00,63880700000000.00,96531300000000.00,113000000000000.00,108555000000000.00,113102000000000.00,73224800000000.00,66357100000000.00,87700100000000.00,116555000000000.00,102596000000000.00,
Iceland,ISL,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,639815000000.00,791773000000.00,869551000000.00,962536000000.00,1013270000000.00,1047910000000.00,1068320000000.00,1188370000000.00,1186620000000.00,1206290000000.00,1324450000000.00,1344020000000.00,
Israel,ISR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,298262000000.00,270757000000.00,303795000000.00,330497000000.00,356523000000.00,355783000000.00,356216000000.00,363669000000.00,363741000000.00,364737000000.00,391815000000.00,,
Italy,ITA,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,439932000000.00,353292000000.00,404013000000.00,443061000000.00,460981000000.00,461783000000.00,473719000000.00,491905000000.00,497339000000.00,533720000000.00,555491000000.00,565004000000.00,
Jamaica,JAM,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,418361000000.00,367317000000.00,361227000000.00,376784000000.00,396652000000.00,437876000000.00,481916000000.00,496603000000.00,560227000000.00,656760000000.00,768675000000.00,832818000000.00,
Jordan,JOR,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,8811200000.00,7853400000.00,9053800000.00,9758100000.00,10158300000.00,10101600000.00,11022700000.00,10012500000.00,9644800000.00,10151000000.00,10686000000.00,11563740000.00,
Japan,JPN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,90729700000000.00,61290000000000.00,75237000000000.00,73342700000000.00,71990300000000.00,80082400000000.00,90135400000000.00,93570600000000.00,87112600000000.00,96906900000000.00,101355000000000.00,,
Kazakhstan,KAZ,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,9173660000000.00,7115730000000.00,9652100000000.00,13123000000000.00,13680700000000.00,13901800000000.00,15609200000000.00,11658800000000.00,14957400000000.00,17617500000000.00,23259700000000.00,25196800000000.00,
Kenya,KEN,Exports of goods and services (current LCU),NE.EXP.GNFS.CN,563010000000.00,573672000000.00,654689000000.00,805766000000.00,947190000000.00,945478000000.00,988521000000.00,1041510000000.00,1006190000000.00,1080500000000.00,1171460000000.00,1171940000000.00,
